_id,date,hashtags,location,text,tweet_id,user
60da918c8624c308c41c62d0,,,,,,
60da918c8624c308c41c62d1,,,,,,
60da918c8624c308c41c62d2,,,,,,
60da918c8624c308c41c62d3,,,,,,
60da918c8624c308c41c62d4,,,,,,
60da918c8624c308c41c62d5,,,,,,
60da918c8624c308c41c62d6,,,,,,
60da918c8624c308c41c62d7,,,,,,
60da918c8624c308c41c62d8,,,,,,
60da918c8624c308c41c62d9,,,,,,
60da918c8624c308c41c62da,,,,,,
60da918c8624c308c41c62db,,,,,,
60da918c8624c308c41c62dc,,,,,,
60da918c8624c308c41c62dd,,,,,,
60da918c8624c308c41c62de,,,,,,
60da918c8624c308c41c62df,,,,,,
60da918c8624c308c41c62e0,,,,,,
60da918c8624c308c41c62e1,,,,,,
60da918c8624c308c41c62e2,,,,,,
60da918c8624c308c41c62e3,,,,,,
60da918c8624c308c41c62e4,,,,,,
60da918c8624c308c41c62e5,,,,,,
60da918c8624c308c41c62e6,,,,,,
60da918c8624c308c41c62e7,,,,,,
60da918c8624c308c41c62e8,,,,,,
60da918c8624c308c41c62e9,,,,,,
60da918c8624c308c41c62ea,,,,,,
60da918c8624c308c41c62eb,,,,,,
60da918c8624c308c41c62ec,,,,,,
60da918c8624c308c41c62ed,,,,,,
60da918c8624c308c41c62ee,,,,,,
60da918c8624c308c41c62ef,,,,,,
60da918c8624c308c41c62f0,,,,,,
60da918c8624c308c41c62f1,,,,,,
60da918c8624c308c41c62f2,,,,,,
60da918c8624c308c41c62f3,,,,,,
60da918c8624c308c41c62f4,,,,,,
60da918c8624c308c41c62f5,,,,,,
60da918c8624c308c41c62f6,,,,,,
60da918c8624c308c41c62f7,,,,,,
60da918c8624c308c41c62f8,,,,,,
60da918c8624c308c41c62f9,,,,,,
60da918c8624c308c41c62fa,,,,,,
60da918c8624c308c41c62fb,,,,,,
60da918c8624c308c41c62fc,,,,,,
60da918c8624c308c41c62fd,,,,,,
60da918c8624c308c41c62fe,,,,,,
60da918c8624c308c41c62ff,,,,,,
60da918c8624c308c41c6300,,,,,,
60da918c8624c308c41c6301,,,,,,
60da918c8624c308c41c6302,,,,,,
60da918c8624c308c41c6303,,,,,,
60da918c8624c308c41c6304,,,,,,
60da918c8624c308c41c6305,,,,,,
60da918c8624c308c41c6306,,,,,,
60da918c8624c308c41c6307,,,,,,
60da918c8624c308c41c6308,,,,,,
60da918c8624c308c41c6309,,,,,,
60da918c8624c308c41c630a,,,,,,
60da918c8624c308c41c630b,,,,,,
60da918c8624c308c41c630c,,,,,,
60da918c8624c308c41c630d,,,,,,
60da918c8624c308c41c630e,,,,,,
60da918c8624c308c41c630f,,,,,,
60da918c8624c308c41c6310,,,,,,
60da918c8624c308c41c6311,,,,,,
60da918c8624c308c41c6312,,,,,,
60da918c8624c308c41c6313,,,,,,
60da918c8624c308c41c6314,,,,,,
60da918c8624c308c41c6315,,,,,,
60da918c8624c308c41c6316,,,,,,
60da918c8624c308c41c6317,,,,,,
60da918c8624c308c41c6318,,,,,,
60da918c8624c308c41c6319,,,,,,
60da918c8624c308c41c631a,,,,,,
60da918c8624c308c41c631b,,,,,,
60da918c8624c308c41c631c,,,,,,
60da918c8624c308c41c631d,,,,,,
60da918c8624c308c41c631e,,,,,,
60da918c8624c308c41c631f,,,,,,
60da918c8624c308c41c6320,,,,,,
60da918c8624c308c41c6321,,,,,,
60da918c8624c308c41c6322,,,,,,
60da918c8624c308c41c6323,,,,,,
60da918c8624c308c41c6324,,,,,,
60da918c8624c308c41c6325,,,,,,
60da918c8624c308c41c6326,,,,,,
60da918c8624c308c41c6327,,,,,,
60da918c8624c308c41c6328,,,,,,
60da918c8624c308c41c6329,,,,,,
60da918c8624c308c41c632a,,,,,,
60da918c8624c308c41c632b,,,,,,
60da918c8624c308c41c632c,,,,,,
60da918c8624c308c41c632d,,,,,,
60da918c8624c308c41c632e,,,,,,
60da918c8624c308c41c632f,,,,,,
60da918c8624c308c41c6330,,,,,,
60da918c8624c308c41c6331,,,,,,
60da918c8624c308c41c6332,,,,,,
60da918c8624c308c41c6333,,,,,,
60da918c8624c308c41c6334,,,,,,
60da918c8624c308c41c6335,,,,,,
60da918c8624c308c41c6336,,,,,,
60da918c8624c308c41c6337,,,,,,
60da918c8624c308c41c6338,,,,,,
60da918c8624c308c41c6339,,,,,,
60da918c8624c308c41c633a,,,,,,
60da918c8624c308c41c633b,,,,,,
60da918c8624c308c41c633c,,,,,,
60da918c8624c308c41c633d,,,,,,
60da918c8624c308c41c633e,,,,,,
60da918c8624c308c41c633f,,,,,,
60da918c8624c308c41c6340,,,,,,
60da918c8624c308c41c6341,,,,,,
60da918c8624c308c41c6342,,,,,,
60da918c8624c308c41c6343,,,,,,
60da918c8624c308c41c6344,,,,,,
60da918c8624c308c41c6345,,,,,,
60da918c8624c308c41c6346,,,,,,
60da918c8624c308c41c6347,,,,,,
60da918c8624c308c41c6348,,,,,,
60da918c8624c308c41c6349,,,,,,
60da918c8624c308c41c634a,,,,,,
60da918c8624c308c41c634b,,,,,,
60da918c8624c308c41c634c,,,,,,
60da918c8624c308c41c634d,,,,,,
